filename	promotion	nomination
39 Boeing C-17 Globemaster III in Australian service	4 August 2013 (UTC)	08:00, 13 July 2013
40 Hurricane Elena	3 August 2013 (UTC)	20:15, 11 June 2013
41 Djaoeh Dimata	3 August 2013 (UTC)	14:36, 19 July 2013
42 Terry-Thomas	3 August 2013 (UTC)	09:37, 16 July 2013
43 Boletus badius	3 August 2013 (UTC)	07:25, 12 July 2013
44 Charles-Valentin Alkan	3 August 2013 (UTC)	12:48, 29 June 2013
/July 2013
1 Thaddeus Stevens	10:15, 31 July 2013	00:08, 11 July 2013
2 SMS Nassau	10:15, 31 July 2013	18:53, 1 July 2013
3 Banksia speciosa	10:15, 31 July 2013	10:36, 25 June 2013
4 When God Writes Your Love Story	10:15, 31 July 2013	12:20, 23 June 2013
5 Social history of viruses	30 July 2013 (UTC)	11:27, 6 July 2013
6 Koala	30 July 2013 (UTC)	19:46, 26 June 2013
7 Colorado River	30 July 2013 (UTC)	05:38, 24 June 2013
8 God of War II	30 July 2013 (UTC)	03:50, 15 June 2013
9 Garden Warbler	28 July 2013 (UTC)	06:20, 20 June 2013
10 Vernon Sturdee	28 July 2013 (UTC)	22:48, 22 June 2013
11 William Hely	28 July 2013 (UTC)	17:28, 6 July 2013
12 Sega v. Accolade	23 July 2013 (UTC)	18:35, 13 June 2013
13 Benjamin Britten	23 July 2013 (UTC)	riley (talk) and Brianboulton
14 Anne, Queen of Great Britain	23 July 2013 (UTC)	13:44, 29 June 2013
15 Rani Mukerji	23 July 2013 (UTC)	Nominator(s):
16 Interstate 496	July 21, 2013 (UTC)	01:09, 12 June 2013
17 Alan McNicoll	23 July 2013 (UTC)	04:02, 24 May 2013
18 Tintin in the Land of the Soviets	23 July 2013 (UTC)	21:46, 4 June 2013
19 Sholay	23 July 2013 (UTC)	Nominator(s): User:Bollyjeff,
20 Priyanka Chopra	23 July 2013 (UTC)	☠ Blofeld, Prashant and
21 Drowning Girl	23 July 2013 (UTC)	02:17, 15 June 2013
22 Sorga Ka Toedjoe	23 July 2013 (UTC)	06:46, 5 July 2013
23 All God's Children Need Traveling Shoes	23 July 2013 (UTC)	20:14, 20 June 2013
24 Gertie the Dinosaur	23 July 2013 (UTC)	13:12, 31 May 2013
25 Lockheed C-130 Hercules in Australian service	23 July 2013 (UTC)	02:42, 23 June 2013
26 Archie MacLaren	23 July 2013 (UTC)	21:33, 4 July 2013
27 Oxbow (horse)	23 July 2013 (UTC)	21:43, 24 June 2013
28 Uruguayan War	23 July 2013 (UTC)	21:54, 10 June 2013
29 Norman conquest of England	23 July 2013 (UTC)	13:35, 26 June 2013
30 Harold Davidson	7 July 2013 (UTC)	19:06, 30 June 2013
31 Horse Protection Act of 1970	7 July 2013 (UTC)	June 2013 (UTC) and
32 Military service of Ian Smith	01:02, 7 July 2013‎	04:16, 2 June 2013
33 Tylopilus felleus	6 July 2013 (UTC)	& Sasata (talk ·
34 Thomas Ellison	6 July 2013 (UTC)	10:42, 2 May 2013
35 Artur Phleps	5 July 2013 (UTC)	02:53, 25 May 2013
36 Three-dollar piece	5 July 2013 (UTC)	12:28, 1 June 2013
37 Lie Kim Hok	1 July 2013 (UTC)	02:27, 1 June 2013
/June 2013
1 SMS Oldenburg	30 June 2013 (UTC)	18:07, 12 June 2013
2 Isabeau of Bavaria	30 June 2013 (UTC)	14:35, 10 June 2013
3 South Pacific (musical)	30 June 2013 (UTC)	20:39, 7 June 2013
4 Japanese battleship Musashi	30 June 2013 (UTC)	03:35, 22 May 2013
5 Paul Kagame	23 June 2013 (UTC)	20:11, 19 May 2013
6 Walter Krueger	23 June 2013 (UTC)	22:19, 18 May 2013
7 Gospel of the Ebionites	23 June 2013 (UTC)	16:23, 29 April 2013
8 Pisco Sour	23 June 2013 (UTC)	14:54, 28 April 2013
9 Millennium Force	22 June 2013 (UTC)	01:18, 28 April 2013
10 Deadalive	22 June 2013 (UTC)	04:19, 19 April 2013
11 Poitevin horse	21 June 2013 (UTC)	00:47, 1 June 2013
12 Sunbeam Tiger	21 June 2013 (UTC)	00:12, 29 May 2013
13 Allan Walters	21 June 2013 (UTC)	07:51, 25 May 2013
14 Alexander of Greece	21 June 2013 (UTC)	10:49, 22 May 2013
15 Gather Together in My Name	21 June 2013 (UTC)	04:52, 21 May 2013
16 Good Girl Gone Bad: Reloaded	21 June 2013 (UTC)	15:54, 18 May 2013
17 Pigeye shark	15 June 2013 (UTC)	17:49, 19 May 2013
18 Tommy Amaker	15 June 2013 (UTC)	13:23, 17 May 2013
19 Conte di Cavour-class battleship	15 June 2013 (UTC)	14:51, 11 May 2013
20 God of War: Betrayal	15 June 2013 (UTC)	18:25, 9 May 2013
21 Kahaani	15 June 2013 (UTC)	Nominator(s): Msrag, Dwaipayan, Pleasant1623,
22 Tern	15 June 2013 (UTC)	14:31, 27 May 2013
23 Red Rail	15 June 2013 (UTC)	01:57, 27 May 2013
24 SheiKra	15 June 2013 (UTC)	02:43, 19 May 2013
25 Henry I of England	9 June 2013 (UTC)	18:56, 16 May 2013
26 James Moore (Continental Army officer)	9 June 2013 (UTC)	13:43, 14 May 2013
27 McDonnell Douglas A-4G Skyhawk	9 June 2013 (UTC)	11:28, 15 May 2013
28 2012 tour of She Has a Name	8 June 2013 (UTC)	19:53, 1 May 2013
29 Interstate 96	8 June 2013 (UTC)	18:53, 1 May 2013
30 Everything Tastes Better with Bacon	8 June 2013 (UTC)	18:39, 31 May 2013
31 Russula virescens	8 June 2013 (UTC)	04:57, 7 May 2013
32 SMS Thüringen	8 June 2013 (UTC)	18:59, 1 May 2013
33 Jürgen Ehlers	8 June 2013 (UTC)	17:42, 14 April 2013
34 Jane Joseph	4 June 2013 (UTC)	20:57, 25 May 2013
35 The Man in the Moone	4 June 2013 (UTC)	17:05, 26 April 2013
36 Charles Inglis (engineer)	4 June 2013 (UTC)	07:12, 20 April 2013
/May 2013
1 Harvey Kurtzman's Jungle Book	12 June 2013 (UTC)	03:03, 14 April 2013
2 Final Fantasy XIII-2	12 June 2013 (UTC)	06:55, 20 April 2013
3 Monroe Doctrine Centennial half dollar	12 June 2013 (UTC)	10:42, 2 May 2013
4 Prometheus (2012 film)	31 May 2013 (UTC)	13:10, 5 May 2013
5 Political career of John C. Breckinridge	26 May 2013 (UTC)	18:09, 15 April 2013
6 Woolly mammoth	26 May 2013 (UTC)	21:32, 14 April 2013
7 Middle Ages	26 May 2013 (UTC)	2013 (UTC); User:Johnbod; User:Eric
8 Gagak Item	26 May 2013 (UTC)	06:52, 16 May 2013
9 Jack Hobbs	26 May 2013 (UTC)	19:08, 14 May 2013
10 Banksia dentata	26 May 2013 (UTC)	01:40, 7 May 2013
11 Norman Cob	26 May 2013 (UTC)	21:02, 4 May 2013
12 Manta ray	26 May 2013 (UTC)	05:17, 22 April 2013
13 23rd Waffen Mountain Division of the SS Kama (2nd Croatian)	25 May 2013 (UTC)	14:28, 19 April 2013
14 Rudd Concession	25 May 2013 (UTC)	20:00, 16 April 2013
15 Madeline Montalban	25 May 2013 (UTC)	18:26, 6 April 2013
16 Marie Lloyd	21 May 2013 (UTC)	09:06, 14 May 2013
17 Prince William, Duke of Gloucester	19 May 2013 (UTC)	06:59, 27 April 2013
18 Goblin shark	19 May 2013 (UTC)	03:08, 26 April 2013
19 Long-tailed Ground Roller	19 May 2013 (UTC)	17:47, 24 April 2013
20 Eurasian Blackcap	19 May 2013 (UTC)	06:13, 22 April 2013
21 Pennsylvania-class battleship	19 May 2013 (UTC)	22:52, 19 April 2013
22 The Heart of a Woman	19 May 2013 (UTC)	21:29, 10 April 2013
23 Mass Effect 2	19 May 2013 (UTC)	15:41, 4 April 2013
24 Iven Mackay	19 May 2013 (UTC)	23:24, 25 March 2013
25 Lynn Hill	14 May 2013 (UTC)	23:39, 26 March 2013
26 Hurricane Hattie	11 May 2013 (UTC)	10 April 2013 (UTC),
27 USS Saratoga (CV-3)	11 May 2013 (UTC)	22:21, 6 April 2013
28 Tripura	11 May 2013 (UTC)	14:59, 28 March 2013
29 Duino Elegies	11 May 2013 (UTC)	16:45, 20 March 2013
30 Gustav Holst	9 May 2013 (UTC)	User:Tim riley Tim riley
31 California State Route 75	9 May 2013 (UTC)	09:37, 29 April 2013
32 Freedom for the Thought That We Hate	9 May 2013 (UTC)	04:31, 28 April 2013
33 God of War (video game)	9 May 2013 (UTC)	20:35, 27 April 2013
34 Boletus luridus	9 May 2013 (UTC)	07:12, 27 April 2013
35 Creek Turnpike	9 May 2013 (UTC)	22:24, 15 April 2013
36 Japanese battleship Yamashiro	9 May 2013 (UTC)	Nominator(s): Dank, Sturmvogel
37 Leningrad première of Shostakovich's Symphony No. 7	6 May 2013 (UTC)	19:24, 28 April 2013
38 Norman Selfe	6 May 2013 (UTC)	09:07, 27 March 2013
39 USS Kearsarge (BB-5)	5 May 2013 (UTC)	09:35, 10 April 2013
40 Ezra Meeker	2 May 2013 (UTC)	08:57, 26 April 2013
41 Nauru Reed Warbler	2 May 2013 (UTC)	10:36, 16 April 2013
42 SMS Prinzregent Luitpold	2 May 2013 (UTC)	20:07, 19 April 2013
43 Ancient Egyptian deities	2 May 2013 (UTC)	22:41, 14 April 2013
44 Fort Yellowstone	2 May 2013 (UTC)	16:07, 13 April 2013
45 Michigan State Trunkline Highway System	1 May 2013 (UTC)	18:11, 9 April 2013
/April 2013
1 William Henry Bury	27 April 2013 (UTC)	10:41, 31 March 2013
2 California State Route 67	27 April 2013 (UTC)	05:54, 26 March 2013
3 Zong massacre	27 April 2013 (UTC)	20:15, 20 March 2013
4 Jane Cobden	25 April 2013 (UTC)	20:59, 13 April 2013
5 Albatrellus subrubescens	25 April 2013 (UTC)	05:54, 1 April 2013
6 George S. Patton slapping incidents	25 April 2013 (UTC)	12:25, 16 March 2013
7 James B. Longacre	25 April 2013 (UTC)	01:12, 16 March 2013
8 Famous Fantastic Mysteries	25 April 2013 (UTC)	10:07, 19 March 2013
9 Calostoma cinnabarinum	25 April 2013 (UTC)	15:39, 8 March 2013
10 Music for a Time of War	21 April 2013 (UTC)	15:26, 3 April 2013
11 Circinus (constellation)	20 April 2013 (UTC)	+ Keilana (talk ·
12 Operation Hardboiled	20 April 2013 (UTC)	23:28, 22 March 2013
13 Resurrectionists in the United Kingdom	20 April 2013 (UTC)	22:50, 22 March 2013
14 Japanese battleship Fusō	20 April 2013 (UTC)	Nominator(s): Dank, Sturmvogel
15 Kosta Pećanac	20 April 2013 (UTC)	10:54, 4 March 2013
16 Zaian War	19 April 2013 (UTC)	11:05, 29 March 2013
17 Song of Innocence	19 April 2013 (UTC)	02:33, 27 March 2013
18 Doom Bar	15 April 2013 (UTC)	20:53, 5 March 2013
19 George Herriman	14 April 2013 (UTC)	16:27, 2 March 2013
20 King Island Emu	13 April 2013 (UTC)	03:48, 14 March 2013
21 George Harrison	13 April 2013 (UTC)	03:05, 26 February 2013
22 Alcohol laws of New Jersey	11 April 2013 (UTC)	Nominator(s): User:ColonelHenry,
23 Sair Tjerita Siti Akbari	6 April 2013 (UTC)	01:13, 25 March 2013
24 Leg before wicket	6 April 2013 (UTC)	13:08, 23 March 2013
25 Common Starling	2 April 2013 (UTC)	10:02, 2 March 2013
/March 2013
1 Prince George of Denmark	31 March 2013 (UTC)	20:28, 13 March 2013
2 Juwan Howard	31 March 2013 (UTC)	14:55, 23 February 2013
3 Ranavalona I	30 March 2013 (UTC)	10:59, 5 March 2013
4 Ramaria botrytis	30 March 2013 (UTC)	17:08, 1 March 2013
5 Mascarene Martin	30 March 2013 (UTC)	07:22, 1 March 2013
6 Madonna in the Church	26 March 2013 (UTC)	Nominator(s):Ceoil, Truthkeeper88,
7 Hurricane Carol	26 March 2013 (UTC)	02:38, 8 February 2013
8 Fusō-class battleship	24 March 2013 (UTC)	22:04, 12 March 2013
9 Bob Feller	24 March 2013 (UTC)	02:56, 20 February 2013
10 Persoonia linearis	24 March 2013 (UTC)	19:52, 15 February 2013
11 Cry Me a River (Justin Timberlake song)	24 March 2013 (UTC)	18:26, 9 February 2013
12 United States v. The Progressive	23 March 2013 (UTC)	21:17, 19 February 2013
13 George Lansbury	23 March 2013 (UTC)	22:51, 18 March 2013
14 Lambertia formosa	23 March 2013 (UTC)	12:50, 6 March 2013
15 Disco Demolition Night	23 March 2013 (UTC)	16:52, 25 February 2013
16 History of Gibraltar	23 March 2013 (UTC)	21:00, 19 February 2013
17 Biscayne National Park	23 March 2013 (UTC)	17:51, 3 February 2013
18 Mother India	17 March 2013 (UTC)	15:32, 1 March 2013
19 Broken Sword: The Shadow of the Templars	16 March 2013 (UTC)	20:01, 1 February 2013
20 Arthur W. Radford	16 March 2013 (UTC)	13:00, 24 January 2013
21 Big Two-Hearted River	15 March 2013 (UTC)	Nominator(s): Truthkeeper88,
22 Sesame Street research	15 March 2013 (UTC)	18:03, 23 February 2013
23 Omayra Sánchez	15 March 2013 (UTC)	23:17, 15 February 2013
24 Russian battleship Rostislav	15 March 2013 (UTC)	22:12, 11 February 2013
25 Flying Eagle cent	15 March 2013 (UTC)	20:12, 10 February 2013
26 Réunion Ibis	15 March 2013 (UTC)	16:31, 12 January 2013
27 The Elder Scrolls IV: Oblivion	11 March 2013 (UTC)	14:30, 27 January 2013
28 Push the Button (Sugababes song)	10 March 2013 (UTC)	08:36, 16 January 2013
29 Death of Jimi Hendrix	10 March 2013 (UTC)	05:53, 14 February 2013
30 William Robinson Brown	9 March 2013 (UTC)	00:41, 5 February 2013
31 Batman: Arkham City	9 March 2013 (UTC)	15:42, 31 January 2013
32 Gateshead International Stadium	9 March 2013 (UTC)	19:19, 17 January 2013
33 Alben W. Barkley	6 March 2013 (UTC)	21:40, 10 February 2013
34 H. C. McNeile	6 March 2013 (UTC)	03:49, 9 February 2013
35 Joaquim José Inácio, Viscount of Inhaúma	6 March 2013 (UTC)	04:48, 26 January 2013
36 Aaliyah (album)	6 March 2013 (UTC)	23:28, 14 January 2013
37 Hurricane Debbie (1961)	6 March 2013 (UTC)	23:29, 10 January 2013
38 British military intervention in the Sierra Leone Civil War	4 March 2013 (UTC)	
39 Kareena Kapoor	4 March 2013 (UTC)	
40 Gravity Bone	4 March 2013 (UTC)	18:13, 3 February 2013
41 Marcus Ward Lyon, Jr.	4 March 2013 (UTC)	16:02, 23 January 2013
42 Laura Secord	4 March 2013 (UTC)	21:36, 17 January 2013
/February 2013
1 Rakoto Frah	24 February 2013 (UTC)	04:05, 15 January 2013
2 California State Route 52	24 February 2013 (UTC)	02:51, 14 January 2013
3 Andrew Johnson	00:37, 17 February 2013	00:33, 16 January 2013
4 Battle of the Bismarck Sea	00:37, 17 February 2013	01:31, 13 January 2013
5 United States v. Lara	00:37, 17 February 2013	20:17, 6 January 2013
6 Dobroslav Jevđević	00:37, 17 February 2013	06:27, 30 December 2012
7 Kenneth Widmerpool	10:33, 10 February 2013‎	13:39, 3 February 2013
8 Canis Minor	10:33, 10 February 2013‎	02:30, 15 January 2013
9 Richard Wagner	18:19, 9 February 2013‎	08:34, 20 December 2012
10 Fort Dobbs (North Carolina)	10:13, 8 February 2013‎	23:53, 12 January 2013
11 Homework (Daft Punk album)	10:13, 8 February 2013‎	03:39, 22 December 2012
12 Alloxylon flammeum	10:13, 8 February 2013‎	10:26, 20 December 2012
13 Percy Fender	08:37, 5 February 2013‎	20:14, 23 January 2013
14 The King and I	12:06, 3 February 2013‎	12:40, 24 January 2013
/January 2013
1.1 The Sixth Extinction II: Amor Fati	09:47, 1 February 2013‎	23:07, 28 December 2012
1.2 Journey (2012 video game)	14:28, 30 January 2013	06:47, 27 December 2012
1.3 Elephant	14:28, 30 January 2013	16:32, 16 December 2012
1.4 Fortress of Mimoyecques	01:13, 29 January 2013	09:06, 1 January 2013
1.5 2005 Qeshm earthquake	01:13, 29 January 2013	22:43, 26 December 2012
1.6 John Le Mesurier	23:41, 27 January 2013	19:17, 9 January 2013
1.7 Mycena aurantiomarginata	23:41, 27 January 2013	20:39, 2 January 2013
1.8 Neville Cardus	16:07, 23 January 2013	(UTC) and Tim riley
1.9 Laevistrombus canarium	02:01, 23 January 2013	22:56, 18 December 2012
1.10 Lady Saigō	15:44, 22 January 2013	09:02, 19 December 2012
1.11 Sawtooth National Forest	15:44, 22 January 2013	04:25, 18 December 2012
1.12 James Bryant Conant	10:18, 18 January 2013	04:00, 18 December 2012
1.13 John F. Bolt	10:18, 18 January 2013	20:10, 16 December 2012
1.14 Maus	16:59, 17 January 2013	08:05, 12 November 2012
1.15 Highway 61 Revisited	19:07, 16 January 2013	04:07, 18 November 2012
1.16 HMS Tiger (1913)	13:48, 13 January 2013	05:08, 29 December 2012
1.17 Skye	13:48, 13 January 2013	10:41, 27 December 2012
1.18 Columbian half dollar	13:48, 13 January 2013	23:35, 25 December 2012
1.19 Broad-billed Parrot	14:47, 12 January 2013	18:13, 4 December 2012
1.20 California State Route 56	14:47, 12 January 2013	04:01, 14 November 2012
1.21 Brazza's Martin	00:29, 10 January 2013	08:00, 12 December 2012
1.22 Omphalotus nidiformis	22:09, 5 January 2013	(UTC) Sasata (talk ·
1.23 Bert T. Combs	13:04, 5 January 2013	15:08, 22 November 2012
1.24 Washington v. Texas	23:43, 3 January 2013	18:30, 20 November 2012
1.25 Danie Mellor	16:01, 3 January 2013	23:11, 8 November 2012
/December 2012
1.1 Afroyim v. Rusk	11:55, 25 December 2012	19:09, 8 December 2012
1.2 Auriscalpium vulgare	11:55, 25 December 2012	03:24, 6 December 2012
1.3 SMS Kaiserin	11:55, 25 December 2012	16:03, 3 December 2012
1.4 Oregon Trail Memorial half dollar	21:30, 24 December 2012	17:46, 18 November 2012
1.5 Look Mickey	21:16, 24 December 2012	08:14, 21 November 2012
1.6 Drowned God: Conspiracy of the Ages	15:37, 19 December 2012	17:43, 15 November 2012
1.7 McDonnell Douglas F-4 Phantom II in Australian service	14:25, 18 December 2012	06:29, 24 November 2012
1.8 Little Moreton Hall	13:04, 18 December 2012	23:28, 18 November 2012
1.9 Blockhaus d'Éperlecques	13:04, 18 December 2012	23:46, 6 November 2012
1.10 Shunzhi Emperor	13:04, 18 December 2012	04:00, 1 November 2012
1.11 Stephen Colbert at the 2006 White House Correspondents' Association Dinner	08:06, 17 December 2012	02:54, 8 November 2012
1.12 Amphibian	18:50, 16 December 2012	2012 (UTC) and Axl
1.13 Banksia aquilonia	08:25, 15 December 2012	13:06, 6 December 2012
1.14 Joseph Grimaldi	08:25, 15 December 2012	13:25, 5 December 2012
1.15 Pale Crag Martin	17:13, 9 December 2012	10:54, 26 November 2012
1.16 Strepsirrhini	00:38, 9 December 2012	10:56, 24 October 2012
1.17 Operation Barras	00:31, 8 December 2012	
1.18 13th Waffen Mountain Division of the SS Handschar (1st Croatian)	18:50, 6 December 2012	04:24, 19 October 2012
1.19 Harold Larwood	18:31, 6 December 2012	21:19, 25 November 2012
1.20 Banksia grossa	15:40, 4 December 2012	01:54, 20 November 2012
1.21 Terang Boelan	15:40, 4 December 2012	22:57, 19 November 2012
1.22 Mauritius Blue Pigeon	15:40, 4 December 2012	09:34, 13 November 2012
1.23 Arthur Gilligan	13:49, 2 December 2012	22:58, 17 November 2012
1.24 Vidya Balan	06:54, 2 December 2012	
/November 2012
1.1 Debora Green	10:41, 26 November 2012	19:18, 24 October 2012
1.2 Lisbon Appointment	03:59, 25 November 2012	09:29, 9 November 2012
1.3 Australian contribution to the Battle of Normandy	11:35, 25 November 2012	10:36, 6 November 2012
1.4 Siege of Constantinople (717–718)	17:17, 24 November 2012	09:31, 10 November 2012
1.5 John Adair	15:01, 22 November 2012	12:50, 20 October 2012
1.6 African River Martin	20:23, 19 November 2012	11:54, 9 November 2012
1.7 Leo Minor	20:23, 19 November 2012	03:12, 8 November 2012
1.8 Muhammad Ali Jinnah	16:55, 18 November 2012	14:28, 25 October 2012
1.9 Harry S. Truman	16:55, 18 November 2012	and Wehwalt (talk ·
1.10 Sinistar: Unleashed	08:35, 17 November 2012	05:44, 2 November 2012
1.11 Dudley Clarke	02:33, 16 November 2012	10:06, 1 November 2012
1.12 Terms of Endearment (The X-Files)	02:33, 16 November 2012	23:57, 26 October 2012
1.13 Anne Hutchinson	02:33, 16 November 2012	00:32, 15 October 2012
1.14 Frank's Cock	17:34, 15 November 2012	00:18, 8 November 2012
1.15 HMS Argus (I49)	19:10, 14 November 2012	16:18, 11 October 2012
1.16 Stanley Savige	17:42, 11 November 2012	20:46, 14 October 2012
1.17 Crucifixion and Last Judgement diptych	19:35, 8 November 2012	Nominator(s): Truthkeeper88, Ceoil, Kafka
1.18 White-eyed River Martin	22:18, 7 November 2012	15:48, 24 October 2012
1.19 Typhoon Rusa	22:16, 7 November 2012	20:33, 19 October 2012
1.20 Imagine (song)	22:16, 7 November 2012	06:11, 19 October 2012
1.21 Frank Pick	22:16, 7 November 2012	00:08, 3 October 2012
1.22 Periodic table	22:16, 7 November 2012	01:07, 12 October 2012
1.23 Dream of the Rarebit Fiend	22:16, 7 November 2012	Nominator(s): Curly Turkey
1.24 The Way I See It (album)	22:16, 7 November 2012	14:12, 6 October 2012
1.25 Sudirman	22:16, 7 November 2012	10:09, 13 October 2012
1.26 National Football League Players Association	22:16, 7 November 2012	19:14, 8 October 2012
1.27 Triangulum Australe	22:16, 7 November 2012	13:22, 23 October 2012
1.28 Daisy Jugadai Napaltjarri	22:16, 7 November 2012	13:16, 23 October 2012
1.29 Themes in Maya Angelou's autobiographies	20:15, 4 November 2012	23:48, 22 September 2012
1.30 Giant eland	17:42, 3 November 2012	13:17, 8 October 2012
1.31 Isabella quarter	17:19, 3 November 2012	16:04, 22 October 2012
1.32 Russula emetica	17:19, 3 November 2012	23:43, 15 October 2012
1.33 May Revolution	17:19, 3 November 2012	01:17, 7 October 2012
1.34 Eusèbe Jaojoby	10:21, 3 November 2012	04:21, 5 October 2012
1.35 Abuwtiyuw	09:49, 3 November 2012	Nominator(s):
1.36 Mitt Romney	00:01, 2 November 2012	03:23, 27 September 2012
/October 2012
1.1 Pierre Monteux	23:13, 27 October 2012	10:39, 25 October 2012
1.2 Episode 14 (Twin Peaks)	23:13, 27 October 2012	Nominator(s): Grapple X, Idiotchalk,
1.3 Hoodwinked!	23:13, 27 October 2012	23:35, 9 October 2012
1.4 Missing My Baby	23:13, 27 October 2012	00:54, 23 September 2012
1.5 Francis Marrash	23:13, 27 October 2012	12:26, 20 September 2012
1.6 Frog	04:31, 26 October 2012	and Thompsma (talk ·
1.7 Interstate 696	07:13, 25 October 2012	04:32, 18 October 2012
1.8 Interstate 80 in Iowa	07:13, 25 October 2012	02:49, 17 October 2012
1.9 Folding@home	07:13, 25 October 2012	01:08, 17 September 2012
1.10 Blakeney Point	06:28, 22 October 2012	11:57, 6 October 2012
1.11 Barber coinage	00:01, 22 October 2012	21:50, 2 October 2012
1.12 Halo: Reach	10:20, 21 October 2012	18:39, 3 September 2012
1.13 God of War: Chains of Olympus	09:48, 21 October 2012	02:10, 20 September 2012
1.14 Stan Coveleski	23:48, 20 October 2012	16:53, 10 September 2012
1.15 Peter Warlock	13:44, 18 October 2012	23:00, 15 October 2012
1.16 Hiram Wesley Evans	18:03, 16 October 2012	(talk) & Crisco 1492
1.17 Percy Chapman	18:03, 16 October 2012	12:20, 7 October 2012
1.18 Istanbul	18:03, 16 October 2012	08:01, 28 September 2012
1.19 Betelgeuse	18:03, 16 October 2012	14:38, 3 September 2012
1.20 Gender Bender (The X-Files)	09:14, 14 October 2012	00:46, 7 October 2012
1.21 Franz Kafka	09:14, 14 October 2012	Gerda Arendt (talk ·
1.22 Lycoperdon perlatum	09:14, 14 October 2012	19:03, 21 September 2012
1.23 New Worlds (magazine)	09:14, 14 October 2012	2012 (UTC) and Nikkimaria
1.24 Cyclone Rewa	09:14, 14 October 2012	15:26, 8 September 2012
1.25 We Can Do It!	17:43, 10 October 2012	15:36, 22 September 2012
1.26 USS Lexington (CV-2)	17:43, 10 October 2012	23:54, 20 September 2012
1.27 Boulonnais horse	17:43, 10 October 2012	16:32, 12 September 2012
1.28 OK Computer	17:43, 10 October 2012	16:37, 10 September 2012
1.29 The Truth (The X-Files)	10:02, 7 October 2012	16:51, 8 September 2012
1.30 Holkham National Nature Reserve	22:32, 6 October 2012	06:27, 12 September 2012
1.31 Manuel Marques de Sousa, Count of Porto Alegre	08:02, 6 October 2012	11:31, 8 September 2012
1.32 H-58 (Michigan county highway)	08:02, 6 October 2012	02:28, 24 September 2012
1.33 Mereka Bilang, Saya Monyet!	08:02, 6 October 2012	00:34, 25 September 2012
1.34 Frank Berryman	08:02, 6 October 2012	09:03, 14 September 2012
1.35 Archaeoindris	08:02, 6 October 2012	19:04, 13 September 2012
1.36 La Coupole	08:42, 5 October 2012	23:52, 4 September 2012
1.37 Pink Floyd	20:30, 2 October 2012	03:39, 1 September 2012
/September 2012
1.1 Rhythm Killers	21:35, 30 September 2012	15:12, 15 September 2012
1.2 Joseph Desha	13:52, 29 September 2012	12:29, 21 September 2012
1.3 Hobey Baker	13:52, 29 September 2012	23:35, 9 September 2012
1.4 Common toad	17:36, 27 September 2012	19:28, 23 August 2012
1.5 Somerset County Cricket Club in 2009	17:36, 27 September 2012	15:35, 2 September 2012
1.6 Corona Australis	17:36, 27 September 2012	& Keilana (talk ·
1.7 M-553 (Michigan highway)	22:18, 21 September 2012	19:51, 20 September 2012
1.8 Dodo	22:18, 21 September 2012	08:41, 28 August 2012
1.9 Phallus indusiatus	19:11, 20 September 2012	21:06, 13 September 2012
1.10 Eraserhead	18:54, 20 September 2012	21:12, 14 September 2012
1.11 Ian Fleming	18:54, 20 September 2012	10:21, 14 September 2012
1.12 Andjar Asmara	18:13, 20 September 2012	23:40, 11 September 2012
1.13 Sadie Harris	18:13, 20 September 2012	21:34, 11 September 2012
1.14 HMS Furious (47)	18:13, 20 September 2012	03:54, 11 September 2012
1.15 System Shock 2	18:13, 20 September 2012	18:18, 9 September 2012
1.16 Microsoft Security Essentials	18:13, 20 September 2012	09:40, 9 September 2012
1.17 The Hunger Games	18:13, 20 September 2012	00:53, 2 September 2012
1.18 Augustinian theodicy	18:13, 20 September 2012	21:29, 28 August 2012
1.19 Madagascar	18:13, 20 September 2012	18:41, 24 August 2012
1.20 Olga Constantinovna of Russia	18:13, 20 September 2012	12:44, 22 August 2012
1.21 The Rite of Spring	17:19, 11 September 2012	22:10, 4 September 2012
1.22 North Norfolk Coast Site of Special Scientific Interest	17:19, 11 September 2012	17:10, 3 September 2012
1.23 Nightswimming (Awake)	17:19, 11 September 2012	00:03, 2 September 2012
1.24 Deep Throat (The X-Files episode)	17:19, 11 September 2012	00:11, 21 August 2012
1.25 Seated Liberty dollar	17:19, 11 September 2012	23:46, 27 August 2012
1.26 Oerip Soemohardjo	17:19, 11 September 2012	23:33, 28 August 2012
1.27 Ex parte Crow Dog	17:19, 11 September 2012	16:38, 3 August 2012
1.28 Ruth Norman	17:19, 11 September 2012	01:27, 31 August 2012
1.29 The Post-Modern Prometheus	15:33, 8 September 2012	18:38, 28 August 2012
1.30 Melford Stevenson	15:33, 8 September 2012	(User talk:John), Malleus Fatuorum
1.31 Inocybe saliceticola	15:33, 8 September 2012	13:01, 27 August 2012
1.32 Auriga (constellation)	15:33, 8 September 2012	05:08, 8 August 2012
1.33 Grey Cup	12:47, 3 September 2012	01:14, 7 August 2012
1.34 SMS Kaiser (1911)	12:47, 3 September 2012	19:36, 25 August 2012
1.35 Stephen Hawking	12:47, 3 September 2012	09:16, 26 August 2012
1.36 The Concert in Central Park	12:47, 3 September 2012	09:28, 10 August 2012
1.37 Cley Marshes	12:47, 3 September 2012	- talk to me?,
1.38 Giant anteater	12:47, 3 September 2012	14:53, 3 August 2012
1.39 Bronwyn Oliver	12:47, 3 September 2012	14:58, 13 August 2012
/August 2012
